IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.236.117.48,2095,FALSE,SIN,Asia Pacific,Singapore,215 ms,4870 kB/s
47.237.95.140,8880,FALSE,SIN,Asia Pacific,Singapore,214 ms,4860 kB/s
47.236.170.54,8880,FALSE,SIN,Asia Pacific,Singapore,218 ms,4851 kB/s
47.236.144.208,2052,FALSE,SIN,Asia Pacific,Singapore,240 ms,4839 kB/s
47.237.11.182,2095,FALSE,SIN,Asia Pacific,Singapore,212 ms,4826 kB/s
47.237.86.185,2082,FALSE,SIN,Asia Pacific,Singapore,227 ms,4826 kB/s
47.237.95.156,2052,FALSE,SIN,Asia Pacific,Singapore,215 ms,4825 kB/s
47.236.144.196,8880,FALSE,SIN,Asia Pacific,Singapore,222 ms,4824 kB/s
47.236.169.15,2095,FALSE,SIN,Asia Pacific,Singapore,235 ms,4816 kB/s
47.236.165.25,80,FALSE,SIN,Asia Pacific,Singapore,221 ms,4809 kB/s
47.237.95.140,8080,FALSE,SIN,Asia Pacific,Singapore,244 ms,4798 kB/s
47.76.159.146,2082,FALSE,HKG,Asia Pacific,Hong Kong,65 ms,4797 kB/s
47.237.100.206,8080,FALSE,SIN,Asia Pacific,Singapore,220 ms,4793 kB/s
47.236.144.156,2086,FALSE,SIN,Asia Pacific,Singapore,215 ms,4789 kB/s
47.237.82.15,2086,FALSE,SIN,Asia Pacific,Singapore,218 ms,4788 kB/s
47.237.82.15,80,FALSE,SIN,Asia Pacific,Singapore,213 ms,4776 kB/s
47.236.166.131,2095,FALSE,SIN,Asia Pacific,Singapore,223 ms,4767 kB/s
47.237.95.13,2052,FALSE,SIN,Asia Pacific,Singapore,213 ms,4757 kB/s
47.236.202.91,2082,FALSE,SIN,Asia Pacific,Singapore,211 ms,4744 kB/s
8.222.174.108,2082,FALSE,SIN,Asia Pacific,Singapore,224 ms,4741 kB/s
47.236.180.51,80,FALSE,SIN,Asia Pacific,Singapore,230 ms,4737 kB/s
47.236.117.48,2082,FALSE,SIN,Asia Pacific,Singapore,226 ms,4714 kB/s
47.236.87.246,2095,FALSE,SIN,Asia Pacific,Singapore,240 ms,4713 kB/s
47.236.83.239,2095,FALSE,SIN,Asia Pacific,Singapore,209 ms,4712 kB/s
47.236.144.196,2086,FALSE,SIN,Asia Pacific,Singapore,243 ms,4700 kB/s
47.236.17.193,2095,FALSE,SIN,Asia Pacific,Singapore,212 ms,4676 kB/s
8.219.87.30,8880,FALSE,SIN,Asia Pacific,Singapore,220 ms,4672 kB/s
47.236.169.141,2082,FALSE,SIN,Asia Pacific,Singapore,216 ms,4671 kB/s
47.237.95.156,2086,FALSE,SIN,Asia Pacific,Singapore,213 ms,4657 kB/s
47.236.144.156,8880,FALSE,SIN,Asia Pacific,Singapore,230 ms,4657 kB/s
47.236.117.48,8880,FALSE,SIN,Asia Pacific,Singapore,248 ms,4656 kB/s
47.236.83.239,8880,FALSE,SIN,Asia Pacific,Singapore,209 ms,4654 kB/s
47.237.95.156,80,FALSE,SIN,Asia Pacific,Singapore,210 ms,4653 kB/s
47.236.205.188,2086,FALSE,SIN,Asia Pacific,Singapore,243 ms,4649 kB/s
47.236.118.216,8080,FALSE,SIN,Asia Pacific,Singapore,216 ms,4643 kB/s
47.76.204.76,80,FALSE,HKG,Asia Pacific,Hong Kong,59 ms,4605 kB/s
47.236.104.11,8880,FALSE,SIN,Asia Pacific,Singapore,220 ms,4604 kB/s
47.236.150.13,8080,FALSE,SIN,Asia Pacific,Singapore,226 ms,4598 kB/s
47.238.40.58,8880,FALSE,HKG,Asia Pacific,Hong Kong,60 ms,4586 kB/s
47.236.149.107,2086,FALSE,SIN,Asia Pacific,Singapore,251 ms,4584 kB/s
47.236.166.131,8880,FALSE,SIN,Asia Pacific,Singapore,225 ms,4569 kB/s
47.237.86.185,8080,FALSE,SIN,Asia Pacific,Singapore,209 ms,4556 kB/s
47.236.118.216,8880,FALSE,SIN,Asia Pacific,Singapore,235 ms,4549 kB/s
47.236.237.90,2082,FALSE,SIN,Asia Pacific,Singapore,207 ms,4548 kB/s
47.236.145.85,2095,FALSE,SIN,Asia Pacific,Singapore,218 ms,4547 kB/s
47.236.144.196,2082,FALSE,SIN,Asia Pacific,Singapore,213 ms,4515 kB/s
47.236.169.15,2052,FALSE,SIN,Asia Pacific,Singapore,226 ms,4507 kB/s
47.236.165.25,2052,FALSE,SIN,Asia Pacific,Singapore,216 ms,4500 kB/s
47.236.150.13,2095,FALSE,SIN,Asia Pacific,Singapore,243 ms,4498 kB/s
47.237.95.13,2082,FALSE,SIN,Asia Pacific,Singapore,213 ms,4493 kB/s
47.237.0.31,8880,FALSE,SIN,Asia Pacific,Singapore,216 ms,4488 kB/s
47.236.169.141,2095,FALSE,SIN,Asia Pacific,Singapore,213 ms,4479 kB/s
47.237.92.26,2095,FALSE,SIN,Asia Pacific,Singapore,222 ms,4474 kB/s
47.237.14.220,8080,FALSE,SIN,Asia Pacific,Singapore,224 ms,4470 kB/s
47.236.10.100,80,FALSE,SIN,Asia Pacific,Singapore,214 ms,4466 kB/s
47.237.82.15,8080,FALSE,SIN,Asia Pacific,Singapore,211 ms,4459 kB/s
47.236.169.164,2095,FALSE,SIN,Asia Pacific,Singapore,223 ms,4443 kB/s
47.236.172.71,2086,FALSE,SIN,Asia Pacific,Singapore,223 ms,4438 kB/s
47.236.144.156,8080,FALSE,SIN,Asia Pacific,Singapore,221 ms,4431 kB/s
47.236.172.71,80,FALSE,SIN,Asia Pacific,Singapore,215 ms,4426 kB/s
47.237.83.20,8880,FALSE,SIN,Asia Pacific,Singapore,208 ms,4423 kB/s
47.236.17.193,80,FALSE,SIN,Asia Pacific,Singapore,211 ms,4401 kB/s
47.236.180.51,2095,FALSE,SIN,Asia Pacific,Singapore,245 ms,4384 kB/s
47.236.172.95,2095,FALSE,SIN,Asia Pacific,Singapore,225 ms,4364 kB/s
47.236.168.17,8080,FALSE,SIN,Asia Pacific,Singapore,223 ms,4362 kB/s
47.237.81.112,2095,FALSE,SIN,Asia Pacific,Singapore,235 ms,4358 kB/s
47.237.14.220,2082,FALSE,SIN,Asia Pacific,Singapore,215 ms,4356 kB/s
47.236.169.164,2082,FALSE,SIN,Asia Pacific,Singapore,218 ms,4340 kB/s
47.237.95.13,2086,FALSE,SIN,Asia Pacific,Singapore,209 ms,4339 kB/s
47.236.17.193,2082,FALSE,SIN,Asia Pacific,Singapore,250 ms,4334 kB/s
47.236.118.216,2095,FALSE,SIN,Asia Pacific,Singapore,215 ms,4331 kB/s
47.236.168.17,8880,FALSE,SIN,Asia Pacific,Singapore,219 ms,4320 kB/s
47.236.144.156,2082,FALSE,SIN,Asia Pacific,Singapore,225 ms,4316 kB/s
47.236.104.11,2052,FALSE,SIN,Asia Pacific,Singapore,212 ms,4310 kB/s
47.236.171.205,2052,FALSE,SIN,Asia Pacific,Singapore,214 ms,4279 kB/s
47.236.123.133,8080,FALSE,SIN,Asia Pacific,Singapore,211 ms,4279 kB/s
47.236.144.48,80,FALSE,SIN,Asia Pacific,Singapore,214 ms,4254 kB/s
47.236.123.133,2052,FALSE,SIN,Asia Pacific,Singapore,218 ms,4244 kB/s
47.236.17.193,2052,FALSE,SIN,Asia Pacific,Singapore,211 ms,4229 kB/s
47.236.97.90,2082,FALSE,SIN,Asia Pacific,Singapore,213 ms,4221 kB/s
47.236.144.48,2052,FALSE,SIN,Asia Pacific,Singapore,219 ms,4213 kB/s
47.236.144.196,8080,FALSE,SIN,Asia Pacific,Singapore,211 ms,4211 kB/s
47.236.171.205,2095,FALSE,SIN,Asia Pacific,Singapore,211 ms,4177 kB/s
8.222.174.108,80,FALSE,SIN,Asia Pacific,Singapore,217 ms,4176 kB/s
47.236.144.196,2052,FALSE,SIN,Asia Pacific,Singapore,223 ms,4175 kB/s
47.237.10.1,2086,FALSE,SIN,Asia Pacific,Singapore,239 ms,4170 kB/s
47.236.117.48,8080,FALSE,SIN,Asia Pacific,Singapore,217 ms,4166 kB/s
47.237.83.20,2086,FALSE,SIN,Asia Pacific,Singapore,237 ms,4164 kB/s
47.236.150.13,8880,FALSE,SIN,Asia Pacific,Singapore,245 ms,4149 kB/s
47.236.170.54,2082,FALSE,SIN,Asia Pacific,Singapore,222 ms,4133 kB/s
47.236.169.141,80,FALSE,SIN,Asia Pacific,Singapore,219 ms,4129 kB/s
47.236.172.95,8080,FALSE,SIN,Asia Pacific,Singapore,219 ms,4107 kB/s
8.219.201.245,8080,FALSE,SIN,Asia Pacific,Singapore,214 ms,4099 kB/s
47.236.170.54,80,FALSE,SIN,Asia Pacific,Singapore,219 ms,4092 kB/s
47.236.172.71,8080,FALSE,SIN,Asia Pacific,Singapore,219 ms,4043 kB/s
47.236.146.249,2082,FALSE,SIN,Asia Pacific,Singapore,236 ms,4029 kB/s
47.237.100.206,2082,FALSE,SIN,Asia Pacific,Singapore,217 ms,4029 kB/s
47.237.95.146,2052,FALSE,SIN,Asia Pacific,Singapore,219 ms,4024 kB/s
47.236.169.164,2086,FALSE,SIN,Asia Pacific,Singapore,225 ms,4022 kB/s
8.219.87.30,80,FALSE,SIN,Asia Pacific,Singapore,238 ms,4003 kB/s
47.236.104.11,2095,FALSE,SIN,Asia Pacific,Singapore,214 ms,3988 kB/s
47.237.100.206,2052,FALSE,SIN,Asia Pacific,Singapore,212 ms,3980 kB/s
47.236.10.182,80,FALSE,SIN,Asia Pacific,Singapore,213 ms,3975 kB/s
47.236.172.71,2082,FALSE,SIN,Asia Pacific,Singapore,217 ms,3956 kB/s
47.236.169.15,8080,FALSE,SIN,Asia Pacific,Singapore,228 ms,3952 kB/s
47.236.169.164,80,FALSE,SIN,Asia Pacific,Singapore,218 ms,3939 kB/s
47.76.159.146,8880,FALSE,HKG,Asia Pacific,Hong Kong,60 ms,3933 kB/s
47.236.202.91,8080,FALSE,SIN,Asia Pacific,Singapore,246 ms,3929 kB/s
47.236.146.249,80,FALSE,SIN,Asia Pacific,Singapore,213 ms,3914 kB/s
8.219.163.195,2052,FALSE,SIN,Asia Pacific,Singapore,216 ms,3862 kB/s
47.236.144.208,2082,FALSE,SIN,Asia Pacific,Singapore,223 ms,3861 kB/s
47.236.169.164,8080,FALSE,SIN,Asia Pacific,Singapore,227 ms,3846 kB/s
47.236.5.223,2052,FALSE,SIN,Asia Pacific,Singapore,241 ms,3835 kB/s
47.236.121.23,80,FALSE,SIN,Asia Pacific,Singapore,213 ms,3788 kB/s
47.237.95.146,2082,FALSE,SIN,Asia Pacific,Singapore,223 ms,3776 kB/s
47.236.10.182,2095,FALSE,SIN,Asia Pacific,Singapore,219 ms,3765 kB/s
47.236.172.71,8880,FALSE,SIN,Asia Pacific,Singapore,246 ms,3755 kB/s
47.236.145.85,2082,FALSE,SIN,Asia Pacific,Singapore,210 ms,3752 kB/s
47.236.144.196,80,FALSE,SIN,Asia Pacific,Singapore,241 ms,3750 kB/s
47.236.121.23,8080,FALSE,SIN,Asia Pacific,Singapore,222 ms,3734 kB/s
8.219.87.30,2082,FALSE,SIN,Asia Pacific,Singapore,225 ms,3728 kB/s
47.236.125.62,2082,FALSE,NRT,Asia Pacific,Tokyo,277 ms,3716 kB/s
47.236.166.131,2086,FALSE,SIN,Asia Pacific,Singapore,214 ms,3710 kB/s
47.236.149.107,8080,FALSE,SIN,Asia Pacific,Singapore,215 ms,3660 kB/s
47.236.123.133,80,FALSE,SIN,Asia Pacific,Singapore,220 ms,3640 kB/s
47.236.180.51,8880,FALSE,SIN,Asia Pacific,Singapore,212 ms,3638 kB/s
47.236.145.85,2086,FALSE,SIN,Asia Pacific,Singapore,220 ms,3619 kB/s
8.219.163.195,8080,FALSE,SIN,Asia Pacific,Singapore,231 ms,3612 kB/s
8.219.201.245,8880,FALSE,SIN,Asia Pacific,Singapore,216 ms,3582 kB/s
8.222.174.108,2095,FALSE,SIN,Asia Pacific,Singapore,213 ms,3580 kB/s
8.219.201.245,2086,FALSE,SIN,Asia Pacific,Singapore,223 ms,3565 kB/s
47.236.169.141,2086,FALSE,SIN,Asia Pacific,Singapore,222 ms,3547 kB/s
47.236.166.131,80,FALSE,SIN,Asia Pacific,Singapore,225 ms,3480 kB/s
47.236.144.48,2082,FALSE,SIN,Asia Pacific,Singapore,213 ms,3424 kB/s
47.237.81.112,2086,FALSE,SIN,Asia Pacific,Singapore,240 ms,3422 kB/s
47.236.125.62,2086,FALSE,NRT,Asia Pacific,Tokyo,285 ms,3396 kB/s
8.219.201.245,2095,FALSE,SIN,Asia Pacific,Singapore,215 ms,3384 kB/s
47.237.81.112,2082,FALSE,SIN,Asia Pacific,Singapore,244 ms,3366 kB/s
47.236.123.133,8880,FALSE,SIN,Asia Pacific,Singapore,249 ms,3358 kB/s
47.236.144.48,2086,FALSE,SIN,Asia Pacific,Singapore,220 ms,3356 kB/s
47.236.121.23,2086,FALSE,SIN,Asia Pacific,Singapore,223 ms,3298 kB/s
47.236.10.100,2082,FALSE,SIN,Asia Pacific,Singapore,216 ms,3278 kB/s
47.236.146.249,2095,FALSE,SIN,Asia Pacific,Singapore,215 ms,3265 kB/s
47.236.180.51,2082,FALSE,SIN,Asia Pacific,Singapore,216 ms,3238 kB/s
47.237.92.26,80,FALSE,SIN,Asia Pacific,Singapore,220 ms,3175 kB/s
47.237.94.140,8080,FALSE,SIN,Asia Pacific,Singapore,262 ms,3099 kB/s
47.236.118.216,2086,FALSE,SIN,Asia Pacific,Singapore,223 ms,3071 kB/s
47.236.125.62,2052,FALSE,NRT,Asia Pacific,Tokyo,324 ms,3042 kB/s
47.237.95.13,2095,FALSE,SIN,Asia Pacific,Singapore,205 ms,2952 kB/s
47.236.172.95,2082,FALSE,SIN,Asia Pacific,Singapore,216 ms,2948 kB/s
47.236.125.62,2095,FALSE,NRT,Asia Pacific,Tokyo,281 ms,2935 kB/s
47.236.125.62,8080,FALSE,NRT,Asia Pacific,Tokyo,300 ms,2918 kB/s
8.219.163.195,80,FALSE,SIN,Asia Pacific,Singapore,214 ms,2754 kB/s
47.236.125.62,80,FALSE,NRT,Asia Pacific,Tokyo,292 ms,2742 kB/s
47.76.204.76,2095,FALSE,HKG,Asia Pacific,Hong Kong,62 ms,2734 kB/s
47.236.10.182,8880,FALSE,SIN,Asia Pacific,Singapore,218 ms,2614 kB/s
47.238.6.102,80,FALSE,HKG,Asia Pacific,Hong Kong,63 ms,2598 kB/s
47.76.94.15,2082,FALSE,HKG,Asia Pacific,Hong Kong,63 ms,2551 kB/s
47.236.165.25,2086,FALSE,SIN,Asia Pacific,Singapore,221 ms,2506 kB/s
47.90.141.204,80,FALSE,LAX,North America,Los Angeles,264 ms,2411 kB/s
47.76.146.1,2095,FALSE,HKG,Asia Pacific,Hong Kong,57 ms,1311 kB/s
8.219.163.195,8880,FALSE,SIN,Asia Pacific,Singapore,233 ms,1268 kB/s
47.236.9.152,8080,FALSE,SIN,Asia Pacific,Singapore,206 ms,1227 kB/s
47.76.77.103,2086,FALSE,HKG,Asia Pacific,Hong Kong,65 ms,1077 kB/s
8.209.119.190,80,FALSE,SJC,North America,San Jose,275 ms,943 kB/s
8.219.77.141,80,FALSE,SJC,North America,San Jose,212 ms,912 kB/s
47.76.94.15,80,FALSE,HKG,Asia Pacific,Hong Kong,60 ms,898 kB/s
47.76.77.103,2095,FALSE,HKG,Asia Pacific,Hong Kong,57 ms,733 kB/s
47.76.77.103,80,FALSE,HKG,Asia Pacific,Hong Kong,59 ms,616 kB/s
47.76.77.103,8080,FALSE,HKG,Asia Pacific,Hong Kong,56 ms,536 kB/s
47.76.77.103,8880,FALSE,HKG,Asia Pacific,Hong Kong,68 ms,533 kB/s
47.237.82.15,8880,FALSE,SIN,Asia Pacific,Singapore,222 ms,497 kB/s
149.129.8.215,80,FALSE,SJC,North America,San Jose,96 ms,420 kB/s
47.236.170.54,2052,FALSE,SIN,Asia Pacific,Singapore,215 ms,388 kB/s
47.76.94.15,2095,FALSE,HKG,Asia Pacific,Hong Kong,58 ms,385 kB/s
8.218.3.12,2095,FALSE,HKG,Asia Pacific,Hong Kong,61 ms,353 kB/s
8.210.55.134,2082,FALSE,HKG,Asia Pacific,Hong Kong,64 ms,350 kB/s
47.76.146.1,2082,FALSE,HKG,Asia Pacific,Hong Kong,58 ms,338 kB/s
8.210.55.134,80,FALSE,HKG,Asia Pacific,Hong Kong,68 ms,327 kB/s
47.243.90.180,8880,FALSE,HKG,Asia Pacific,Hong Kong,62 ms,284 kB/s
47.243.90.180,2052,FALSE,HKG,Asia Pacific,Hong Kong,64 ms,280 kB/s
8.218.3.12,2082,FALSE,HKG,Asia Pacific,Hong Kong,66 ms,280 kB/s
47.76.159.146,8080,FALSE,HKG,Asia Pacific,Hong Kong,58 ms,267 kB/s
47.76.94.15,8080,FALSE,HKG,Asia Pacific,Hong Kong,57 ms,266 kB/s
47.76.146.1,80,FALSE,HKG,Asia Pacific,Hong Kong,56 ms,265 kB/s
47.76.146.1,2052,FALSE,HKG,Asia Pacific,Hong Kong,64 ms,261 kB/s
47.243.86.79,2052,FALSE,HKG,Asia Pacific,Hong Kong,55 ms,256 kB/s
47.57.14.118,80,FALSE,SJC,North America,San Jose,65 ms,254 kB/s
47.243.86.79,2095,FALSE,HKG,Asia Pacific,Hong Kong,59 ms,249 kB/s
47.76.204.76,8080,FALSE,HKG,Asia Pacific,Hong Kong,69 ms,239 kB/s
47.76.146.1,2086,FALSE,HKG,Asia Pacific,Hong Kong,61 ms,236 kB/s
47.243.86.79,80,FALSE,HKG,Asia Pacific,Hong Kong,58 ms,226 kB/s
47.76.146.1,8080,FALSE,HKG,Asia Pacific,Hong Kong,61 ms,212 kB/s
8.210.55.134,2052,FALSE,HKG,Asia Pacific,Hong Kong,59 ms,204 kB/s
8.210.55.134,2095,FALSE,HKG,Asia Pacific,Hong Kong,56 ms,203 kB/s
47.243.86.79,2082,FALSE,HKG,Asia Pacific,Hong Kong,65 ms,195 kB/s
47.243.86.79,8880,FALSE,HKG,Asia Pacific,Hong Kong,61 ms,190 kB/s
47.243.86.79,8080,FALSE,HKG,Asia Pacific,Hong Kong,69 ms,166 kB/s
8.218.3.12,8880,FALSE,HKG,Asia Pacific,Hong Kong,54 ms,152 kB/s
8.212.41.98,8080,FALSE,SJC,North America,San Jose,62 ms,141 kB/s
8.218.3.12,80,FALSE,HKG,Asia Pacific,Hong Kong,59 ms,132 kB/s
47.76.77.103,2052,FALSE,HKG,Asia Pacific,Hong Kong,64 ms,127 kB/s
8.210.55.134,8080,FALSE,HKG,Asia Pacific,Hong Kong,55 ms,117 kB/s
8.218.3.12,8080,FALSE,HKG,Asia Pacific,Hong Kong,61 ms,104 kB/s
8.210.55.134,8880,FALSE,HKG,Asia Pacific,Hong Kong,63 ms,101 kB/s
8.212.12.98,80,FALSE,HKG,Asia Pacific,Hong Kong,66 ms,75 kB/s
47.57.245.232,80,FALSE,SJC,North America,San Jose,82 ms,67 kB/s
47.76.146.1,8880,FALSE,HKG,Asia Pacific,Hong Kong,63 ms,62 kB/s
47.243.86.79,2086,FALSE,HKG,Asia Pacific,Hong Kong,65 ms,16 kB/s
47.57.13.107,80,FALSE,HKG,Asia Pacific,Hong Kong,68 ms,3 kB/s
47.236.83.239,2086,FALSE,SIN,Asia Pacific,Singapore,208 ms,0 kB/s
47.236.104.11,80,FALSE,SIN,Asia Pacific,Singapore,214 ms,0 kB/s
47.236.150.13,2052,FALSE,SIN,Asia Pacific,Singapore,226 ms,0 kB/s
47.237.86.185,2095,FALSE,SIN,Asia Pacific,Singapore,212 ms,0 kB/s
47.236.202.91,80,FALSE,SIN,Asia Pacific,Singapore,214 ms,0 kB/s
47.236.168.17,2095,FALSE,SIN,Asia Pacific,Singapore,214 ms,0 kB/s
47.236.146.249,8080,FALSE,SIN,Asia Pacific,Singapore,218 ms,0 kB/s
47.237.92.26,8880,FALSE,SIN,Asia Pacific,Singapore,218 ms,0 kB/s
47.237.82.15,2082,FALSE,SIN,Asia Pacific,Singapore,217 ms,0 kB/s
47.76.94.15,8880,FALSE,HKG,Asia Pacific,Hong Kong,59 ms,0 kB/s
47.237.14.220,80,FALSE,SIN,Asia Pacific,Singapore,212 ms,0 kB/s
47.76.159.146,2095,FALSE,HKG,Asia Pacific,Hong Kong,60 ms,0 kB/s
47.236.170.54,2086,FALSE,SIN,Asia Pacific,Singapore,212 ms,0 kB/s
47.237.95.13,80,FALSE,SIN,Asia Pacific,Singapore,212 ms,0 kB/s
47.237.10.1,8080,FALSE,SIN,Asia Pacific,Singapore,218 ms,0 kB/s
47.76.94.15,2052,FALSE,HKG,Asia Pacific,Hong Kong,62 ms,0 kB/s
47.76.94.15,2086,FALSE,HKG,Asia Pacific,Hong Kong,69 ms,0 kB/s
47.236.180.51,8080,FALSE,SIN,Asia Pacific,Singapore,216 ms,0 kB/s
47.236.117.48,2086,FALSE,SIN,Asia Pacific,Singapore,221 ms,0 kB/s
